Site,Borough,Coords - Easting,Coords - Northing,Latitude,Longitude
Newby Place,Tower Hamlets,538037.839,180757.829,51.508889,-0.012333702
Ford Road,Tower Hamlets,536526.951,183344.828,51.532503,-0.033091334
Bramham Gardens (Ext),K&C,525731.420,178354.020,51.490163,-0.19041407
Hansard Mews,K&C,523929.585,179821.948,51.503745,-0.21584098
Russell Gardens,K&C,524253.120,179422.450,51.500088,-0.21131568
Walmer Road,K&C,524214.800,180549.990,51.510225,-0.21148071
Manresa Road,K&C,527086.340,178024.380,51.486895,-0.17102652
Langdon Park,Tower Hamlets,537946.658,181497.434,51.515561,-0.013354839
Bancroft Road,Tower Hamlets,535577.096,182608.218,51.526118,-0.047047593
Castlehaven Road,Camden,528710.927,184212.768,51.542138,-0.14539251
Antill Road,Tower Hamlets,536235.454,182860.378,51.528224,-0.037471103
Palace Gardens Terrace (Ext),K&C,525446.830,180399.050,51.508605,-0.19379046
Sutton Street,Tower Hamlets,535166.306,180942.994,51.511245,-0.053606881
Bow Road Station,Tower Hamlets,537083.871,182753.636,51.527058,-0.025295985
Napier Avenue,Tower Hamlets,537459.941,178381.168,51.487679,-0.021581929
Vauxhall Walk,Lambeth,530561.708,178228.642,51.487937,-0.12093077
Fournier Street,Tower Hamlets,533697.131,181824.341,51.51952,-0.074428483
Red Lion Street,Camden,530775.760,181613.621,51.518308,-0.11659652
Canton Street,Tower Hamlets,537101.185,181035.640,51.511615,-0.025704452
St Johns Park,Tower Hamlets,538271.309,179392.725,51.496566,-0.009498627
Gunmakers Lane,Tower Hamlets,536498.818,183641.459,51.535179,-0.033379725
Bromley High Street,Tower Hamlets,537903.896,182963.603,51.528745,-0.013400887
Furze Green,Tower Hamlets,537382.971,181894.713,51.519266,-0.021323209
St Katharine?s Way,Tower Hamlets,534015.330,180291.978,51.505669,-0.070430189
Granby Street,Tower Hamlets,534018.680,182514.215,51.525645,-0.069542542
Reardon Street,Tower Hamlets,534826.753,180456.361,51.506959,-0.058689022
Coborn Street,Tower Hamlets,536851.143,182686.033,51.526512,-0.028664217
Bow Church Station,Tower Hamlets,537537.034,182889.765,51.528169,-0.01870257
Cephas Street,Tower Hamlets,535044.051,182198.734,51.522561,-0.054883046
Castalia Square,Tower Hamlets,538133.466,179565.144,51.498154,-0.011417663
The Green Bridge,Tower Hamlets,536374.907,182469.694,51.524677,-0.035619823
Wapping Lane,Tower Hamlets,534910.627,180219.547,51.504809,-0.057569994
Malmesbury Road,Tower Hamlets,536918.801,183023.776,51.529524,-0.027568137
Old Ford Road,Tower Hamlets,535490.456,183159.596,51.53109,-0.048089152
Christian Street,Tower Hamlets,534432.437,181127.035,51.513083,-0.064107068
Flamborough Street,Tower Hamlets,536173.767,181149.712,51.512864,-0.039024911
Albert Gardens,Tower Hamlets,535564.147,181179.980,51.51328,-0.047784097
Garnet Street,Tower Hamlets,535066.566,180629.525,51.508456,-0.055166809
Saunders Ness Road,Tower Hamlets,538321.883,178336.687,51.487065,-0.009192268
Spindrift Avenue,Tower Hamlets,537627.123,178765.557,51.491089,-0.019014221
Stebondale Street,Tower Hamlets,538317.543,178563.700,51.489106,-0.009160985
Thornfield House,Tower Hamlets,537241.687,180838.460,51.509811,-0.023764891
Mostyn Grove,Tower Hamlets,537058.085,183141.231,51.53055,-0.02550529
Southern Grove,Tower Hamlets,536724.103,182348.124,51.523505,-0.030624839
Cantrell Road,Tower Hamlets,537280.248,182147.357,51.521564,-0.022693906
Lindfield Street,Tower Hamlets,537458.184,181283.023,51.513757,-0.020466606
Hewison Street,Tower Hamlets,536872.368,183433.387,51.533219,-0.028071646
Shadwell Station,Tower Hamlets,534920.712,180918.528,51.511088,-0.057158802
Ebury Bridge,Westminster,528590.411,178457.418,51.490447,-0.14921956
York Hall,Tower Hamlets,534955.304,182905.275,51.528936,-0.055894485
Bethnal Green Garden,Tower Hamlets,535005.893,182544.841,51.52568,-0.055312372
Cheshire Street,Tower Hamlets,534333.295,182326.673,51.523881,-0.065076264
South Parade,K&C,526800.929,178262.769,51.489098,-0.17505801
Parkway,Camden,528772.120,183761.240,51.538071,-0.14466381
Killick Street,Islington,530584.603,183334.171,51.533818,-0.11871034
Crinan Street,Islington,530340.557,183401.788,51.534476,-0.12220137
Kennington Oval,Lambeth,531116.466,177709.777,51.483145,-0.11313434
Sail Street,Lambeth,531008.557,179109.603,51.495751,-0.11416971
Malet Street,Camden,529804.550,181963.450,51.521677,-0.13045422
Hop Exchange (Extension),Southwark,532535.830,180136.320,51.504625,-0.09180025
Vaughan Way (Ext),Tower Hamlets,534231.650,180605.600,51.508439,-0.067200435
Brushfield Street (Ext),Tower Hamlets,533380.930,181755.970,51.518975,-0.079020705
Exhibition Road,Westminster,526805.170,179466.170,51.499917,-0.17455383
Exhibition Road Museums,K&C,526858.952,179138.760,51.496957,-0.17390851
Bethnal Green Road (Ext),Tower Hamlets,533661.280,182282.380,51.523645,-0.074773457
Cloudesley Road (Extension),Islington,531258.000,183427.000,51.534497,-0.10896404
Eaton Square (South),Westminster,528249.464,178906.151,51.494559,-0.15396549
Royal London Hospital (Ext),Tower Hamlets,534723.170,181800.370,51.519061,-0.059659078
Leman Street (Ext),Tower Hamlets,534056.000,181037.080,51.512363,-0.069556445
Cheapside,City,532427.000,181173.000,51.513969,-0.092966307
Vincent Street,Westminster,529922.434,178783.147,51.493072,-0.12992488
Southwark Station,Southwark,531598.000,180046.000,51.504035,-0.10532632
Great Marlborough Street 2,Westminster,529310.500,181165.150,51.514618,-0.13786299
Harrington Square 2,Camden,529165.960,183208.850,51.533011,-0.13920315
Soho Square (Extension),Westminster,529690.110,181287.380,51.515628,-0.13234497
Chelsea Bridge,Westminster,528618.000,177943.000,51.485821,-0.14900357
Cardinal Place,Westminster,529073.670,179274.630,51.497679,-0.14196798
Kennington Lane Rail Bridge (Extension),Lambeth,530456.130,178047.920,51.486335,-0.12250903
Bankside Mix (Extension),Southwark,531948.570,180253.480,51.505813,-0.10020913
Shoreditch High Street (Extension),Hackney,533419.110,182579.780,51.526371,-0.07814721
Leonard Circus (Extension),Hackney,532986.420,182381.310,51.524693,-0.084459859
Strata,Southwark,532011.000,178845.000,51.493146,-0.099828272
Walworth Road,Southwark,532018.000,178870.000,51.493369,-0.099718157
Nesham Street,Tower Hamlets,534249.540,180457.250,51.507105,-0.066997516
Paddington Green Police Station,Westminster,527015.520,181699.610,51.519938,-0.17072645
Chancery Lane,Westminster,531156.890,181174.200,51.514274,-0.11127176
Palissy Street,Tower Hamlets,533710.000,182585.000,51.526356,-0.073952692
Cleaver Street,Lambeth,531311.000,178266.000,51.488105,-0.11012076
Edgware Road Station,Westminster,527088.930,181705.260,51.519975,-0.16967272
Shouldham Street,Westminster,527517.951,181501.241,51.518045,-0.1635667
Hereford Road,Westminster,525453.370,180970.670,51.513735,-0.19348667
Sedding Street,K&C,528051.649,178742.097,51.49313,-0.15687554
Waterloo Road,Lambeth,531063.000,180124.000,51.50486,-0.11300115
Strand,Westminster,530892.116,180973.289,51.512529,-0.11514867
Aberdeen Place,Westminster,526598.677,182219.159,51.524704,-0.17654673
George Street,Westminster,528172.690,181479.340,51.517699,-0.15413982
Columbia Road,Tower Hamlets,533605.501,182785.360,51.528178,-0.075389567
Clifton Street,Hackney,533087.000,182217.000,51.523196,-0.083066761
