Site,Borough,Coords - Easting,Coords - Northing,Latitude,Longitude
Baylis Road,Lambeth,531231.550,179748.280,51.501442,-0.11072173
Kennington Lane Rail Bridge,Lambeth,530456.130,178047.920,51.486335,-0.12250903
Tooley Street,Southwark,533382.530,180032.300,51.503491,-0.079643137
Great Dover Street,Southwark,532718.340,179334.860,51.497375,-0.089466565
Kennington Cross,Lambeth,531216.310,178356.440,51.488936,-0.11145482
Walnut Tree Walk,Lambeth,531231.910,178884.980,51.493678,-0.11104277
Lambeth North Station,Lambeth,531145.700,179489.690,51.499134,-0.11205622
Bricklayers Arms,Southwark,532977.220,179083.300,51.495058,-0.085832168
Black Prince Road,Lambeth,530830.630,178561.010,51.490868,-0.11693533
Tanner Street,Southwark,533461.670,179717.590,51.500642,-0.078624671
Commercial Street,Tower Hamlets,533611.070,182016.510,51.521266,-0.075594509
Tower Gardens,Tower Hamlets,533653.760,180708.490,51.509502,-0.075485016
Wellington Road,Westminster,526852.570,183153.220,51.533041,-0.17255138
Lambeth Road,Lambeth,530745.360,179005.390,51.494877,-0.11799463
Lollard Street,Lambeth,530962.170,178788.370,51.492877,-0.11495098
Sancroft Street,Lambeth,530956.460,178409.700,51.489473,-0.11517784
Concert Hall Approach,Lambeth,530865.790,180140.840,51.50505,-0.1158464
Albert Gate,Royal Parks,527912.800,179831.630,51.502948,-0.15848224
Hyde Park Corner,Royal Parks,528254.850,179858.520,51.503113,-0.15354776
Triangle Car Park,Royal Parks,527082.500,180200.040,51.506451,-0.17030117
Serpentine Car Park,Royal Parks,526916.470,180035.850,51.505006,-0.17275103
Speakers' Corner,Royal Parks,527733.470,180856.790,51.5122,-0.16068885
Cumberland Gate,Royal Parks,527634.480,180844.450,51.512114,-0.16211905
Palace Gate,Royal Parks,526114.730,179685.290,51.50204,-0.18442524
Black Lion Gate,Royal Parks,525854.150,180554.100,51.509907,-0.18785932
London Zoo Car Park,Royal Parks,528391.590,183623.530,51.536917,-0.15020455
The Tennis Courts,Royal Parks,528196.400,182332.800,51.52536,-0.15348407
Wellington Arch,Westminster,528530.170,179823.440,51.502736,-0.14958621
Union Street,Southwark,532071.910,180019.730,51.503682,-0.098525462
Park Street,Southwark,532463.890,180284.300,51.505972,-0.092781488
New Globe Walk,Southwark,532203.970,180434.550,51.50738,-0.096469328
Colombo Street,Southwark,531567.520,180203.720,51.505453,-0.1057142
Geraldine Street,Southwark,531572.940,179165.490,51.496124,-0.10602897
Swan Street,Southwark,532479.750,179652.880,51.500288,-0.092788234
Hampton Street,Southwark,531894.210,178733.380,51.492166,-0.10155443
Tyers Gate,Southwark,533144.550,179736.240,51.500887,-0.083181762
Dickens Square,Southwark,532410.030,179261.030,51.496791,-0.093928315
Borough Road,Southwark,531950.900,179483.560,51.498893,-0.10046809
Kennington Road,Southwark,531234.800,179111.160,51.495717,-0.11091525
Harper Road,Southwark,532246.710,179457.810,51.498591,-0.09621606
Ontario Street,Southwark,531892.270,179217.400,51.496516,-0.1014025
Borough High Street,Southwark,532356.330,179694.020,51.500695,-0.094543479
Webber Street,Southwark,531831.150,179680.230,51.500691,-0.10210789
LSBU (Borough Road),Southwark,531764.470,179461.630,51.498739,-0.10315431
New Kent Road,Southwark,532485.730,179000.940,51.494428,-0.092946426
Long Lane,Southwark,532975.830,179529.990,51.499067,-0.085693039
Hampstead Road,Camden,529256.990,182380.860,51.52555,-0.13819552
Curlew Street,Southwark,533763.050,179907.220,51.502278,-0.07420443
Bermondsey Street,Southwark,533261.060,179401.700,51.497849,-0.081623573
Wansey Street,Southwark,532201.840,178631.360,51.491178,-0.097173103
Rodney Road,Southwark,532681.730,178677.610,51.491479,-0.090246046
Fashion Street,Tower Hamlets,533767.990,181699.010,51.51838,-0.073467595
Euston Road,Camden,529515.810,182463.000,51.526236,-0.13443373
Harrington Square,Camden,529165.960,183208.850,51.533011,-0.13920315
Norton Folgate,City,533383.230,181993.050,51.521113,-0.07888749
Lower Thames Street,City,532993.340,180668.390,51.509298,-0.085004803
Bethnal Green Road,Tower Hamlets,533661.280,182282.380,51.523645,-0.074773457
Shoreditch High Street,Hackney,533419.110,182579.780,51.526371,-0.07814721
Vauxhall Cross,Lambeth,530320.050,177997.000,51.485917,-0.12448506
Vaughan Way,Tower Hamlets,534231.650,180605.600,51.508439,-0.067200435
Kennington Road Post Office,Lambeth,531280.470,177896.160,51.484787,-0.11070443
New Road,Tower Hamlets,534517.160,181693.130,51.518149,-0.062667089
Wapping High Street,Tower Hamlets,534197.580,180201.540,51.504817,-0.067843648
Brushfield Street,Tower Hamlets,533380.930,181755.970,51.518975,-0.079020705
Warwick Avenue Station,Westminster,526094.380,182055.160,51.523343,-0.18386635
Clifton Road,Westminster,526383.280,182310.540,51.52557,-0.17961155
Grove End Road,Westminster,526564.340,182906.360,51.530886,-0.17678994
Kennington Lane Tesco,Lambeth,530915.770,178108.300,51.486777,-0.11587955
Lisson Grove,Westminster,526894.330,182420.420,51.526444,-0.17221004
Mallory Street,Westminster,527306.540,182275.310,51.525049,-0.16632666
Bell Street,Westminster,527339.640,181936.920,51.521995,-0.16597365
Lodge Road,Westminster,527031.700,182634.500,51.528337,-0.17015916
Charlbert Street,Westminster,527158.010,183300.750,51.534293,-0.16808913
Park Road (Baker Street),Westminster,527817.250,182228.700,51.524511,-0.15898191
Dorset Square,Westminster,527673.490,182011.340,51.522593,-0.161135
Old Quebec Street,Westminster,527897.260,181113.120,51.514473,-0.15823368
Marylebone Lane,Westminster,528597.940,181162.610,51.514754,-0.14813358
Hinde Street,Westminster,528327.060,181384.410,51.516811,-0.15194172
Chapel Place,Westminster,528658.960,181225.180,51.515306,-0.14723201
Wells Street,Westminster,529286.740,181467.670,51.517338,-0.138098
Foley Street,Westminster,529114.140,181667.740,51.519175,-0.14050229
Portland Place,Westminster,528781.930,181829.970,51.520706,-0.14523989
Bolsover Street,Westminster,528884.890,182144.480,51.523514,-0.14364105
Beaumont Street,Westminster,528351.810,181962.950,51.521999,-0.15138571
Nutford Place,Westminster,527462.880,181329.660,51.516512,-0.16442109
Crawford Street,Westminster,527952.630,181758.370,51.520257,-0.15720756
Paddington Street,Westminster,528123.950,181798.720,51.520577,-0.15472976
George Place Mews,Westminster,527888.100,181382.080,51.516892,-0.1582658
St. James's Square,Westminster,529554.320,180370.720,51.507418,-0.13464048
South Audley Street,Westminster,528392.090,180542.120,51.509229,-0.15131183
Curzon Street,Westminster,528772.320,180311.260,51.507067,-0.14592353
St. George Street,Westminster,528975.130,180860.640,51.511954,-0.14279954
North Audley Street,Westminster,528218.730,180947.410,51.512908,-0.15367056
Green Street,Westminster,527957.430,180870.100,51.512275,-0.15745761
Bruton Street,Westminster,528882.670,180722.190,51.510735,-0.14418936
Woodstock Street,Westminster,528655.550,181091.240,51.514103,-0.14732408
Milford Lane,Westminster,531042.400,180919.110,51.512009,-0.11300838
Carey Street,Westminster,531050.100,181253.150,51.515009,-0.11276912
Kingsway,Westminster,530654.560,181176.090,51.514408,-0.11850126
Wellington Street,Westminster,530581.330,180879.010,51.511756,-0.11966258
William IV Street,Westminster,530233.580,180614.780,51.509455,-0.12477232
Craven Street,Westminster,530149.200,180461.390,51.508099,-0.12603846
Pall Mall East,Westminster,529825.470,180416.100,51.507769,-0.13072094
St. Martin's Street,Westminster,529891.250,180564.330,51.509084,-0.12971601
Charles II Street,Westminster,529735.860,180488.710,51.508437,-0.13199056
Soho Square,Westminster,529690.110,181287.380,51.515628,-0.13234497
Golden Square,Westminster,529373.540,180863.790,51.51189,-0.13706632
Great Marlborough Street,Westminster,529310.500,181165.150,51.514618,-0.13786299
Wardour Street,Westminster,529638.370,180939.300,51.512512,-0.1332218
Whitehall Place,Westminster,530350.820,180292.980,51.506534,-0.12320627
Panton Street,Westminster,529763.870,180622.490,51.509635,-0.13153806
Tavistock Street,Westminster,530506.110,180900.620,51.511962,-0.12073498
Houghton Street,Westminster,530775.780,181091.440,51.513617,-0.11679001
Smith Square,Westminster,530076.330,179091.140,51.495805,-0.12759443
Horseferry Road,Westminster,529873.850,178973.780,51.494791,-0.13056044
Regency Street,Westminster,529764.230,178666.380,51.492057,-0.13224247
Rochester Row,Westminster,529527.710,179079.490,51.495823,-0.13550289
Vincent Square,Westminster,529432.240,178872.110,51.493984,-0.13694648
Howick Place,Westminster,529299.120,179176.710,51.496746,-0.13874995
Ashley Place,Westminster,529147.110,179106.960,51.496152,-0.14096397
Tachbrook Street,Westminster,529337.840,178661.190,51.49211,-0.13839141
Guildhouse Street,Westminster,529131.030,178682.020,51.492345,-0.14134932
Gloucester Street,Westminster,529253.600,178531.220,51.490961,-0.13964824
Rampayne Street,Westminster,529727.030,178433.450,51.489971,-0.13286067
St. George's Square,Westminster,529538.310,178233.950,51.488217,-0.13565472
Elizabeth Bridge,Westminster,528704.440,178673.860,51.492362,-0.14749978
Warwick Square,Westminster,529097.160,178404.140,51.489855,-0.14194037
Belgrave Road,Westminster,528934.350,178772.580,51.493199,-0.14415252
Belgrave Square,Westminster,528348.770,179448.560,51.499407,-0.15234323
Eaton Square,Westminster,528454.850,179132.120,51.496543,-0.15093193
Grosvenor Crescent,Westminster,528282.440,179662.780,51.501346,-0.15321578
Eccleston Place,Westminster,528689.880,178849.450,51.493947,-0.14765161
Winsland Street,Westminster,526692.360,181339.580,51.516775,-0.1755086
South Wharf Road,Westminster,526668.470,181400.780,51.517328,-0.1758324
North Wharf Road,Westminster,526606.980,181542.440,51.518618,-0.1766745
Porchester Place,Westminster,527414.360,181131.290,51.514743,-0.16518398
Southwick Street,Westminster,527127.560,181258.450,51.515949,-0.16927201
Princes Square,Westminster,525600.850,180946.270,51.513487,-0.19137793
Whiteley's,Westminster,525820.850,181094.200,51.514768,-0.18815645
Bayswater Road,Westminster,526789.060,180791.630,51.511828,-0.17430832
Kensington Gore,Westminster,526515.020,179627.420,51.501429,-0.17867181
Cotton Garden Estate,Lambeth,531565.980,178567.740,51.490751,-0.10635247
Poured Lines,Southwark,531741.250,180345.480,51.506688,-0.10315561
Braham Street,Tower Hamlets,533773.280,181237.700,51.514227,-0.073556357
Royal London Hospital,Tower Hamlets,534723.170,181800.370,51.519061,-0.059659078
Altab Ali Park,Tower Hamlets,534161.890,181535.310,51.516813,-0.067854885
LMU Commercial Road,Tower Hamlets,534288.830,181328.180,51.514923,-0.066104465
Leman Street,Tower Hamlets,534056.000,181037.080,51.512363,-0.069556445
Embankment (Savoy),Westminster,530628.750,180643.740,51.509625,-0.11907304
Vauxhall Bridge,Westminster,529973.460,178260.550,51.48836,-0.12938306
Queen Mother Sports Centre,Westminster,529223.250,178820.980,51.493565,-0.1399744
Knightsbridge,Westminster,528128.940,179815.180,51.502755,-0.15537773
Park Lane,Westminster,527974.950,180619.170,51.510016,-0.15730378
St. John's Wood Road,Westminster,526721.140,182510.280,51.527292,-0.17467013
Westminster University,Westminster,528104.350,182009.430,51.522478,-0.15492682
Barbican Centre,City,532463.190,181850.050,51.520044,-0.09219361
Grosvenor Road,Westminster,529090.150,177903.330,51.485354,-0.14222416
Great Russell Street,Camden,529994.610,181528.350,51.517724,-0.12787753
Jubilee Gardens,Lambeth,530816.890,180092.770,51.50463,-0.11656978
Claverton Street,Westminster,529377.550,177853.070,51.484839,-0.1381114
Berry Street,Islington,531912.730,182148.200,51.522851,-0.10001905
Hardwick Street,Islington,531338.270,182688.560,51.527838,-0.10808666
St. John's Wood Church,Westminster,527202.890,182878.000,51.530491,-0.1676074
Abbey Orchard Street,Westminster,529755.520,179341.070,51.498125,-0.13212408
Eastbourne Mews,Westminster,526440.380,181292.940,51.516409,-0.17915529
Orsett Terrace,Westminster,526118.300,181453.460,51.517928,-0.18373585
Westbourne Grove,Westminster,525672.290,181175.100,51.515529,-0.19025933
Portugal Street,Westminster,530814.860,181239.610,51.514938,-0.11617344
Great Titchfield Street,Westminster,529052.720,181785.420,51.520249,-0.1413522
Alderney Street,Westminster,529184.310,178206.200,51.488056,-0.14076036
Bramham Gardens,K&C,525731.420,178354.020,51.490163,-0.19041407
Collingham Gardens,K&C,525980.100,178521.740,51.491609,-0.18676996
Kensington Olympia Station,K&C,524383.680,179210.400,51.498154,-0.20951846
Bath Street,Islington,532538.400,182502.800,51.525886,-0.090868233
Baldwin Street,Islington,532695.000,182632.900,51.527017,-0.088557519
Margery Street,Islington,531039.100,182542.500,51.526595,-0.11244865
St. John Street,Islington,531568.700,182752.100,51.528359,-0.10474916
Claremont Square,Islington,531199.200,183110.500,51.531662,-0.10993219
Torrens Street,Islington,531505.200,183177.730,51.532193,-0.10549826
Graham Street,Islington,531885.300,183239.000,51.532662,-0.099999875
Liverpool Road (N1 Centre),Islington,531393.700,183431.300,51.534502,-0.10701732
Cloudesley Road,Islington,531252.730,183416.660,51.5344,-0.1090546
Roscoe Street,Islington,532263.400,182168.600,51.522949,-0.094955254
Knaresborough Place,K&C,525707.330,178739.310,51.493629,-0.19062258
Penfold Street,Westminster,526939.500,182025.860,51.522884,-0.17170391
Sackville Street,Westminster,529253.690,180654.960,51.510039,-0.13887115
Prince Albert Road,Westminster,527654.290,183490.400,51.535889,-0.16087316
Montpelier Street,Westminster,527437.250,179366.830,51.498876,-0.1654899
Broadcasting House,Westminster,528857.440,181542.870,51.51811,-0.14424994
Little Argyll Street,Westminster,529062.280,181145.450,51.514495,-0.1414423
Norton Folgate (Ext),City,533383.230,181993.050,51.521113,-0.07888749
Timber Lodge,LLDC (Newham),537759.000,184969.000,2/20/1900,###############################################################################################################################################################################################################################################################
Lee Valley VeloPark,LLDC (Newham),537680.000,185252.000,51.549368,-0.015719054
London Aquatics Centre,LLDC (Newham),538067.000,184325.000,51.540944,-0.010504605
Aquatics Canal,LLDC (Newham),537971.000,184226.000,51.540078,-0.011926775
Eton Manor,LLDC (Newham),537694.000,185769.000,51.554011,-0.015315069
Here East North,LLDC (Newham),537203.027,185167.369,51.548721,-0.02262724
Here East South,LLDC (Newham),537360.000,184911.000,51.546382,-0.020464266
Copper Box Arena,LLDC (Newham),537430.000,184741.000,51.544838,-0.019521751
The Orbit,LLDC (Newham),537978.000,184075.000,51.538719,-0.011885041
East Village,LLDC (Newham),538090.000,184925.000,51.54633,-0.009937937
Stratford Station,LLDC (Newham),538461.000,184413.000,51.541638,-0.004792343
